region,poly_error,poly_degree,poly_equation,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta,best
United States,6.998646420325642e-05,1,0.55952934 - 0.03035359 (-2.02564103 + 0.51282051x),0.0003275459757922931,0.6241770299701819,-0.027810900493336135,0.8042555881494537,0.06320967869885412,7.740067663817664,Poly
China,0.000663009196743608,1,0.4170797 - 0.07815897 (-2.02564103 + 0.51282051x),0.0016423836595027333,0.6056828972575032,-0.0959974812645492,0.25050003598283965,0.1657712266316402,1.9122290209790223,Poly
India,0.001681662986367536,1,0.38210349 - 0.10283212 (-2.02564103 + 0.51282051x),0.0026847589190382875,0.6504100804663487,-0.13783776443018153,0.33855220754165977,0.22565962629184577,1.784788211171545,Poly
Europe,2.8645587771513457e-06,1,0.53287739 - 0.00831816 (-2.02564103 + 0.51282051x),2.3191748532685896e-05,0.5499723670138031,-0.008004901977862171,0.6650489574116617,0.017137998680863627,11.635405011655015,Poly
