region,poly_error,poly_degree,poly_equation,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta,best
United States,1.5216221601862982e-05,1,0.85143638 - 0.004182 (-2.02564103 + 0.51282051x),1.843219792965469e-05,0.8599461156289004,-0.002518778978336108,2.597576069036463,0.016955645355136564,106.92727272727339,Poly
China,9.780376779885376e-06,1,0.70196176 - 0.00568801 (-2.02564103 + 0.51282051x),1.699651433262241e-05,0.7135702997702461,-0.004155326313014774,1.558792688709935,0.013943067194973659,65.39339826839867,Poly
India,2.9480350030671845e-06,1,0.60162887 - 0.00471182 (-2.02564103 + 0.51282051x),8.725639660106206e-06,0.6112427893690435,-0.004016261604477891,1.0140019704043735,0.01008200321289398,44.84172077922083,Poly
Europe,7.2886247602202455e-06,1,0.75143401 - 0.00415819 (-2.02564103 + 0.51282051x),1.089125031168854e-05,0.7599002405554784,-0.002837753569713149,1.8578185802761737,0.011416945784001216,100.85146103895983,Poly
