region,copper_product_market_share,aluminum_product_market_share,weight_attribute_1,weight_attribute_2,weight_attribute_3,weight_attribute_4,weight_attribute_5,cu_dominant material,cu_product,cu_copper_kg,cu_aluminum_kg,cu_total_mass_kg,cu_non_material_cost_per_unit,cu_attribute_2_value,cu_attribute_3_value,cu_attribute_4_value,cu_attribute_5_value,al_dominant material,al_product,al_copper_kg,al_aluminum_kg,al_total_mass_kg,al_non_material_cost_per_unit,al_attribute_2_value,al_attribute_3_value,al_attribute_4_value,al_attribute_5_value,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,direction_attribute_1,direction_attribute_2,direction_attribute_3,direction_attribute_4,direction_attribute_5,attribute_1_min,attribute_1_max,attribute_2_min,attribute_2_max,attribute_3_min,attribute_3_max,attribute_4_min,attribute_4_max,attribute_5_min,attribute_5_max,copper_price_per_ton,aluminum_price_per_ton,copper_price_per_kg,aluminum_price_per_kg,cu_attribute_1_value,al_attribute_1_value,cu_a1_callibrated,al_a1_callibrated,cu_a2_callibrated,al_a2_callibrated,cu_a3_callibrated,al_a3_callibrated,cu_a4_callibrated,al_a4_callibrated,cu_a5_callibrated,al_a5_callibrated,cu_utility,al_utility,tau_value
United States,0.85,0.15,0.25,0.25,0.2,0.15,0.15,cu,ICE PDC Busbar,0.145,0.0,0.15,3.5,1,58,0.15,9,al,ICE PDC Busbar,0.005,0.07,0.075,4.0,0,35,0.075,6,total_cost,material_continuity,electrical_conductivity,mass,connection_reliability,negative,positive,positive,negative,positive,0.5,20.0,0,1,15,65,0.01,1.0,0,10,9500,2500,9.5,2.5,4.8774999999999995,4.2225,0.7755128205128206,0.8091025641025641,1.0,0.0,0.86,0.4,0.8585858585858586,0.9343434343434344,0.9,0.6,0.8796660839160839,0.5124271561771562,0.2117137693409049
China,0.7,0.3,0.3,0.15,0.2,0.2,0.15,cu,ICE PDC Busbar,0.145,0.0,0.15,2.0,1,58,0.15,9,al,ICE PDC Busbar,0.005,0.07,0.075,2.5,0,35,0.075,6,total_cost,material_continuity,electrical_conductivity,mass,connection_reliability,negative,positive,positive,negative,positive,0.5,20.0,0,1,15,65,0.01,1.0,0,10,9500,2500,9.5,2.5,3.3775,2.7224999999999997,0.8524358974358973,0.886025641025641,1.0,0.0,0.86,0.4,0.8585858585858586,0.9343434343434344,0.9,0.6,0.884447940947941,0.6226763791763792,0.308948687362359
India,0.6,0.4,0.4,0.1,0.2,0.1,0.2,cu,ICE PDC Busbar,0.145,0.0,0.15,1.8,1,58,0.15,9,al,ICE PDC Busbar,0.005,0.07,0.075,2.3,0,35,0.075,6,total_cost,material_continuity,electrical_conductivity,mass,connection_reliability,negative,positive,positive,negative,positive,0.5,20.0,0,1,15,65,0.01,1.0,0,10,9500,2500,9.5,2.5,3.1775,2.5224999999999995,0.8626923076923075,0.8962820512820512,1.0,0.0,0.86,0.4,0.8585858585858586,0.9343434343434344,0.9,0.6,0.882935508935509,0.651947163947164,0.569687355013357
Europe,0.75,0.25,0.2,0.15,0.2,0.25,0.2,cu,ICE PDC Busbar,0.145,0.0,0.15,3.2,1,58,0.15,9,al,ICE PDC Busbar,0.005,0.07,0.075,3.7,0,35,0.075,6,total_cost,material_continuity,electrical_conductivity,mass,connection_reliability,negative,positive,positive,negative,positive,0.5,20.0,0,1,15,65,0.01,1.0,0,10,9500,2500,9.5,2.5,4.577500000000001,3.9225,0.7908974358974359,0.8244871794871795,1.0,0.0,0.86,0.4,0.8585858585858586,0.9343434343434344,0.9,0.6,0.8748259518259519,0.5984832944832945,0.2515379267035856
