region,copper_product_market_share,aluminum_product_market_share,weight_attribute_1,weight_attribute_2,weight_attribute_3,weight_attribute_4,weight_attribute_5,cu_dominant material,cu_product,cu_copper_kg,cu_aluminum_kg,cu_total_mass_kg,cu_non_material_cost_per_unit,cu_attribute_2_value,cu_attribute_3_value,cu_attribute_4_value,cu_attribute_5_value,al_dominant material,al_product,al_copper_kg,al_aluminum_kg,al_total_mass_kg,al_non_material_cost_per_unit,al_attribute_2_value,al_attribute_3_value,al_attribute_4_value,al_attribute_5_value,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,direction_attribute_1,direction_attribute_2,direction_attribute_3,direction_attribute_4,direction_attribute_5,attribute_1_min,attribute_1_max,attribute_2_min,attribute_2_max,attribute_3_min,attribute_3_max,attribute_4_min,attribute_4_max,attribute_5_min,attribute_5_max,copper_price_per_ton,aluminum_price_per_ton,copper_price_per_kg,aluminum_price_per_kg,cu_attribute_1_value,al_attribute_1_value,cu_a1_callibrated,al_a1_callibrated,cu_a2_callibrated,al_a2_callibrated,cu_a3_callibrated,al_a3_callibrated,cu_a4_callibrated,al_a4_callibrated,cu_a5_callibrated,al_a5_callibrated,cu_utility,al_utility,tau_value
United States,0.9,0.1,0.3,0.2,0.2,0.2,0.1,cu,ICE Wire Harness,20.0,0,28,280,1,28,8.5,30,al,ICE Wire Harness,0.5,12,21,340,0,21,6.5,48,total_cost,material_continuity,mass,connection_reliability,cross_sectional_area,negative,positive,negative,positive,negative,75,900,0,1,8,60,0,10,5,90,9500,2500,9.5,2.5,470.0,374.75,0.5212121212121212,0.6366666666666667,1.0,0.0,0.6153846153846154,0.75,0.85,0.65,0.7058823529411765,0.49411764705882355,0.7200287947346771,0.5204117647058824,0.09084962551747813
China,0.7,0.3,0.4,0.1,0.2,0.15,0.15,cu,ICE Wire Harness,20.0,0,28,150,1,28,8.0,30,al,ICE Wire Harness,0.5,12,21,180,0,21,6.0,48,total_cost,material_continuity,mass,connection_reliability,cross_sectional_area,negative,positive,negative,positive,negative,75,900,0,1,8,60,0,10,5,90,9500,2500,9.5,2.5,340.0,214.75,0.6787878787878788,0.8306060606060606,1.0,0.0,0.6153846153846154,0.75,0.8,0.6,0.7058823529411765,0.49411764705882355,0.7204744275332511,0.6463600713012477,0.08747143088279973
India,0.95,0.05,0.45,0.15,0.1,0.2,0.1,cu,ICE Wire Harness,20.0,0,28,120,1,28,8.0,30,al,ICE Wire Harness,0.5,12,21,145,0,21,5.5,48,total_cost,material_continuity,mass,connection_reliability,cross_sectional_area,negative,positive,negative,positive,negative,75,900,0,1,8,60,0,10,5,90,9500,2500,9.5,2.5,310.0,179.75,0.7151515151515152,0.873030303030303,1.0,0.0,0.6153846153846154,0.75,0.8,0.55,0.7058823529411765,0.49411764705882355,0.763944878650761,0.6272754010695187,0.046416135144336707
Europe,0.8,0.2,0.2,0.15,0.3,0.2,0.15,cu,ICE Wire Harness,20.0,0,28,380,1,28,9.0,30,al,ICE Wire Harness,0.5,12,21,460,0,21,7.0,48,total_cost,material_continuity,mass,connection_reliability,cross_sectional_area,negative,positive,negative,positive,negative,75,900,0,1,8,60,0,10,5,90,9500,2500,9.5,2.5,570.0,494.75,0.4,0.4912121212121212,1.0,0.0,0.6153846153846154,0.75,0.9,0.7,0.7058823529411765,0.49411764705882355,0.7004977375565611,0.5373600713012477,0.11767895104436966
