region,best,poly_error,poly_degree,poly_equation,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta
United States,Poly,0.0016585932247160633,1,0.89547921 - 0.03528976 (-2.02564103 + 0.51282051x),0.001875769174158412,0.9694957029971651,-0.020174094762752278,3.073307096960254,0.19512763675467504,15.060447847778162
China,Poly,0.003446475643042837,1,0.68753467 - 0.11150782 (-2.02564103 + 0.51282051x),0.00625777841001702,0.9486728413281585,-0.08264853006249986,1.5413555380802915,0.2702180974726853,6.935607379046292
India,Poly,0.009314204828474282,1,0.93552791 - 0.06241655 (-2.02564103 + 0.51282051x),0.009953323148740178,1.0687877235506797,-0.033905809676445756,3.857763132149021,0.5728807236583007,8.93970684920911
Europe,Poly,0.0005754002154167069,1,0.79693441 - 0.03162052 (-2.02564103 + 0.51282051x),0.0007716777460127097,0.8633406410654492,-0.020332183785756353,2.17234155065969,0.10042732122693616,17.60395637544961
