region,best,poly_error,poly_degree,poly_equation,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta
United States,Poly,0.000127198461744573,1,0.61766374 - 0.02853429 (-2.02564103 + 0.51282051x),0.0003334792906614222,0.6779803836875424,-0.023682947094894272,1.101469232849974,0.06201179315419313,11.694437500000005
China,Poly,1.207160843578394e-05,1,0.51529503 - 0.02462327 (-2.02564103 + 0.51282051x),0.00019586473482011027,0.5674299451239656,-0.024500622552825847,0.5811451465390057,0.05058240721902089,5.160921875
India,Poly,3.938014315184701e-05,1,0.53108025 - 0.03149758 (-2.02564103 + 0.51282051x),0.0003313019290461299,0.5984829491035102,-0.03040516837113575,0.6623799818663317,0.06491567686080867,5.870275
Europe,Poly,9.656414872122248e-05,1,0.59919869 - 0.02730301 (-2.02564103 + 0.51282051x),0.00029124550289126214,0.6568812881314731,-0.023360370758757843,1.0052505031503152,0.058341142765818865,10.850400000000002
