region,copper_price_per_kg,aluminum_price_per_kg,copper_product_market_share,aluminum_product_market_share,weight_attribute_1,weight_attribute_2,weight_attribute_3,weight_attribute_4,weight_attribute_5,cu_dominant material,cu_product,cu_copper_kg,cu_aluminum_kg,cu_total_mass_kg,cu_non_material_cost_per_unit,cu_attribute_2_value,cu_attribute_3_value,cu_attribute_4_value,cu_attribute_5_value,al_dominant material,al_product,al_copper_kg,al_aluminum_kg,al_total_mass_kg,al_non_material_cost_per_unit,al_attribute_2_value,al_attribute_3_value,al_attribute_4_value,al_attribute_5_value,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,direction_attribute_1,direction_attribute_2,direction_attribute_3,direction_attribute_4,direction_attribute_5,attribute_1_min,attribute_1_max,attribute_2_min,attribute_2_max,attribute_3_min,attribute_3_max,attribute_4_min,attribute_4_max,attribute_5_min,attribute_5_max,cu_attribute_1_value,al_attribute_1_value,cu_a1_callibrated,al_a1_callibrated,cu_a2_callibrated,al_a2_callibrated,cu_a3_callibrated,al_a3_callibrated,cu_a4_callibrated,al_a4_callibrated,cu_a5_callibrated,al_a5_callibrated,cu_utility,al_utility,tau_value
United States,9.5,2.5,0.62,0.38,0.3,0.2,0.2,0.15,0.15,cu,EV HV DC Link Laminated Busbar,0.9,0.05,1.15,25.0,1,1.15,58,9.0,al,EV HV DC Link Laminated Busbar,0.1,0.44,0.74,28.0,0,0.74,35,6.5,total_cost,material_continuity,mass,electrical_conductivity,connection_reliability,negative,positive,negative,positive,positive,15.056000000000001,38.95,0,1,0.74,1.15,35,58,5.5,9.5,33.675,30.05,0.2207667196785806,0.3724784464719177,1.0,0.0,0.0,1.0,1.0,0.0,0.875,0.25,0.5474800159035742,0.3492435339415753,0.4049375969710501
China,8.8,2.2,0.52,0.48,0.4,0.15,0.2,0.1,0.15,cu,EV HV DC Link Laminated Busbar,0.9,0.05,1.15,12.0,1,1.15,58,8.5,al,EV HV DC Link Laminated Busbar,0.1,0.44,0.74,15.0,0,0.74,35,7.0,total_cost,material_continuity,mass,electrical_conductivity,connection_reliability,negative,positive,negative,positive,positive,15.056000000000001,38.95,0,1,0.74,1.15,35,58,5.5,9.5,20.03,16.848000000000003,0.7918305850841215,0.9250020925755419,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.375,0.6792322340336485,0.6262508370302168,0.6619141024004652
India,10.0,2.4,0.53,0.47,0.5,0.1,0.15,0.1,0.15,cu,EV HV DC Link Laminated Busbar,0.9,0.05,1.15,10.0,1,1.15,58,8.5,al,EV HV DC Link Laminated Busbar,0.1,0.44,0.74,13.0,0,0.74,35,5.5,total_cost,material_continuity,mass,electrical_conductivity,connection_reliability,negative,positive,negative,positive,positive,15.056000000000001,38.95,0,1,0.74,1.15,35,58,5.5,9.5,19.12,15.056000000000001,0.8299154599481041,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.7274577299740521,0.65,0.6447057608176638
Europe,9.8,2.6,0.6,0.4,0.25,0.15,0.25,0.15,0.2,cu,EV HV DC Link Laminated Busbar,0.9,0.05,1.15,30.0,1,1.15,58,9.5,al,EV HV DC Link Laminated Busbar,0.1,0.44,0.74,34.0,0,0.74,35,7.0,total_cost,material_continuity,mass,electrical_conductivity,connection_reliability,negative,positive,negative,positive,positive,15.056000000000001,38.95,0,1,0.74,1.15,35,58,5.5,9.5,38.95,36.123999999999995,0.0,0.11827236963254405,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.375,0.5,0.354568092408136,0.35867921723382346
