region,copper_product_market_share,aluminum_product_market_share,weight_attribute_1,weight_attribute_2,weight_attribute_3,weight_attribute_4,weight_attribute_5,cu_dominant material,cu_product,cu_copper_kg,cu_aluminum_kg,cu_total_mass_kg,cu_non_material_cost_per_unit,cu_attribute_2_value,cu_attribute_3_value,cu_attribute_4_value,cu_attribute_5_value,al_dominant material,al_product,al_copper_kg,al_aluminum_kg,al_total_mass_kg,al_non_material_cost_per_unit,al_attribute_2_value,al_attribute_3_value,al_attribute_4_value,al_attribute_5_value,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,direction_attribute_1,direction_attribute_2,direction_attribute_3,direction_attribute_4,direction_attribute_5,attribute_1_min,attribute_1_max,attribute_2_min,attribute_2_max,attribute_3_min,attribute_3_max,attribute_4_min,attribute_4_max,attribute_5_min,attribute_5_max,copper_price_per_ton,aluminum_price_per_ton,copper_price_per_kg,aluminum_price_per_kg,cu_attribute_1_value,al_attribute_1_value,cu_a1_callibrated,al_a1_callibrated,cu_a2_callibrated,al_a2_callibrated,cu_a3_callibrated,al_a3_callibrated,cu_a4_callibrated,al_a4_callibrated,cu_a5_callibrated,al_a5_callibrated,cu_utility,al_utility,tau_value
United States,0.65,0.35,0.3,0.2,0.25,0.12,0.13,cu,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,600,50,750,15000,1,78,750,72,al,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,30,380,520,12000,0,63,520,60,total_cost,material_continuity,thermal_performance,mass,corrosion_resistance,negative,positive,positive,negative,positive,2000,50000,0,1,20,150,100,2000,10,100,9500,2500,9.5,2.5,20825.0,13235.0,0.6078125,0.7659375,1.0,0.0,0.4461538461538462,0.33076923076923076,0.6578947368421053,0.7789473684210526,0.6888888888888889,0.5555555555555556,0.6623851355150696,0.47816946412505623,0.2975832045667906
China,0.3,0.7,-0.8750000000000006,10.119999999999981,-1.0750000000000002,-1.1749999999999998,-1.0950000000000002,cu,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,600,50,750,8000,1,78,750,72,al,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,30,380,520,6500,0,63,520,60,total_cost,material_continuity,thermal_performance,mass,corrosion_resistance,negative,positive,positive,negative,positive,2000,50000,0,1,20,150,100,2000,10,100,9500,2500,9.5,2.5,13825.0,7735.0,0.7536458333333333,0.8805208333333333,1.0,0.0,0.4461538461538462,0.33076923076923076,0.6578947368421053,0.7789473684210526,0.6888888888888889,0.5555555555555556,0.7004785762483131,0.5962569163292848,
India,0.55,0.45,0.4,0.15,0.2,0.05,0.2,cu,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,600,50,750,7000,1,78,750,72,al,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,30,380,520,5500,0,63,520,60,total_cost,material_continuity,thermal_performance,mass,corrosion_resistance,negative,positive,positive,negative,positive,2000,50000,0,1,20,150,100,2000,10,100,9500,2500,9.5,2.5,12825.0,6735.0,0.7744791666666667,0.9013541666666667,1.0,0.0,0.4461538461538462,0.33076923076923076,0.6578947368421053,0.7789473684210526,0.6888888888888889,0.5555555555555556,0.719694950517319,0.5767539923526767,0.7123160550943651
Europe,0.4,0.6,-1.0550000000000004,10.129999999999981,-0.9250000000000006,-1.125,-1.125,cu,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,600,50,750,16000,1,78,750,72,al,Large Commercial HVAC Fin-and-Tube Heat Exchanger Coil,30,380,520,13000,0,63,520,60,total_cost,material_continuity,thermal_performance,mass,corrosion_resistance,negative,positive,positive,negative,positive,2000,50000,0,1,20,150,100,2000,10,100,9500,2500,9.5,2.5,21825.0,14235.0,0.5869791666666667,0.7451041666666667,1.0,0.0,0.4461538461538462,0.33076923076923076,0.6578947368421053,0.7789473684210526,0.6888888888888889,0.5555555555555556,0.6173068066801619,0.4798675860323886,
