region,best,poly_error,poly_degree,poly_equation,poly_a,poly_b,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta
United States,Poly,0.0016585932247160633,1,[ 0.96696359 -0.01809731],0.9669635883763256,-0.018097310719452094,0.001875769174158412,0.9694957029971651,-0.020174094762752278,2.3690719888839884,0.24016602196725637,10.007309069032006
China,Poly,0.003446475643042837,1,[ 0.91340949 -0.0571835 ],0.9134094895207678,-0.057183498900465646,0.00625777841001702,0.9486728413281585,-0.08264853006249986,0.7044387044923572,0.532230547486937,2.95943189539711
India,Poly,0.009314204828474282,1,[ 1.06196143 -0.03200849],1.0619614323788964,-0.03200848622304881,0.009953323148740178,1.0687877235506797,-0.033905809676445756,3.427172257870805,0.771095128806366,7.015067169379056
Europe,Poly,0.0005754002154167069,1,[ 0.86098623 -0.01621565],0.8609862306663335,-0.01621565119260038,0.0007716777460127097,0.8633406410654492,-0.020332183785756353,1.2431254521802504,0.1390783762476698,7.064773016241509
