region,best,poly_error,poly_degree,poly_equation,poly_a,poly_b,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta
United States,Poly,0.01527921436280827,1,[ 0.97358479 -0.02830943],0.9735847863869428,-0.028309434568212263,0.0293326554025798,1.021221429414478,-0.04138789164102676,1.6605619322522427,0.13639864511027547,16.517142857142876
China,Poly,0.006865563759619124,1,[ 0.88529452 -0.03521465],0.8852945204611045,-0.03521464609769392,0.030418237528394045,0.9959744941840408,-0.06838294010229462,1.101555781978799,0.15384967746423933,10.940816326530618
India,Poly,0.03609764963906601,1,[ 1.15350486 -0.05185132],1.1535048588522971,-0.051851317110243426,0.08282588192262505,1.315794446189474,-0.08088754951402195,2.0013321113661853,0.27141976226540787,12.798412698412706
Europe,Poly,0.007806832643191971,1,[ 0.88807762 -0.02105709],0.888077616211447,-0.021057088942274895,0.015786381920739296,0.9163827638442608,-0.03151328766112897,1.4824802592204696,0.09713774302141372,18.071428571428587
