region,best,poly_error,poly_degree,poly_equation,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta
United States,Poly,0.000992424448936409,1,0.84626119 - 0.03445612 (-2.02564103 + 0.51282051x),0.001211772651940265,0.9186619431271026,-0.0208555845429143,2.566571904366029,0.13639864511027547,16.517142857142876
China,Poly,0.00130195500925836,1,0.74418748 - 0.05682354 (-2.02564103 + 0.51282051x),0.001979885248746427,0.8675252659123642,-0.03908014168439671,1.8319416438761835,0.15384967746423953,10.940816326530609
India,Poly,0.002794253642380433,1,0.91383152 - 0.04094109 (-2.02564103 + 0.51282051x),0.0030800395392513104,1.0000348917763708,-0.022909507096812946,3.3326052107910904,0.2714197622654085,12.79841269841269
Europe,Poly,0.0005384024585992996,1,0.79705553 - 0.03057558 (-2.02564103 + 0.51282051x),0.0007219035280573775,0.8611917610844959,-0.01965825273143289,2.1726857618097593,0.09713774302141352,18.071428571428616
