region,best,poly_error,poly_degree,poly_equation,power_error,power_alpha,power_beta,logit_error,logit_alpha,logit_beta
United States,Poly,5.1771551003358035e-05,1,0.96969599 - 0.00321516 (-2.02564103 + 0.51282051x),5.344030127037063e-05,0.9762284727347752,-0.0017002437240043028,4.437873114606836,0.056154753015143256,65.70212765957451
China,Poly,0.00016593051220328543,1,0.77842397 - 0.01811386 (-2.02564103 + 0.51282051x),0.00023190973228348396,0.8159085397440651,-0.011930568886645804,2.0373125208774923,0.05389090397395934,27.285714285714324
India,Poly,0.0003719495162272464,1,0.91847291 - 0.01456582 (-2.02564103 + 0.51282051x),0.0004080921241631691,0.9484037714273081,-0.008129602506564807,3.3481190381571135,0.10000027063537968,28.223404255319213
Europe,Poly,3.621247288020065e-05,1,0.95972045 - 0.00311786 (-2.02564103 + 0.51282051x),3.7798201862573254e-05,0.9660549504450884,-0.001665953838500204,4.13186523258471,0.04137938075564754,80.60283687943291
